,name,x1,x2,y1,y2,classname,newFilename
0,4173.png,265,302,292,355,face_with_mask,2654173.png
1,2798.png,773,5,1020,586,face_with_mask,7732798.png
2,2097.jpg,601,172,727,349,face_other_covering,6012097.jpg
3,6427.png,218,98,577,580,face_with_mask_incorrect,2186427.png
4,4511.png,297,6,452,240,face_with_mask,2974511.png
5,4095.png,319,143,524,436,face_other_covering,3194095.png
6,5108.jpg,374,68,422,128,face_with_mask,3745108.jpg
7,3063.png,439,72,609,257,face_with_mask_incorrect,4393063.png
8,2168.png,321,114,535,385,face_with_mask,3212168.png
9,3523.png,70,0,378,444,face_other_covering,703523.png
10,2154.png,111,281,586,966,face_with_mask,1112154.png
11,5989.jpg,884,174,986,302,face_no_mask,8845989.jpg
12,2993.png,79,88,259,296,face_other_covering,792993.png
13,5270.jpg,206,31,270,108,face_other_covering,2065270.jpg
14,3898.png,399,55,515,207,face_with_mask,3993898.png
15,4228.png,91,3,628,529,face_other_covering,914228.png
16,2544.png,182,64,427,397,face_with_mask,1822544.png
17,6392.jpg,0,100,55,293,face_with_mask,06392.jpg
18,2054.jpg,837,441,931,548,face_with_mask,8372054.jpg
19,2151.jpg,809,44,858,99,face_no_mask,8092151.jpg
20,5364.jpg,216,34,425,384,face_other_covering,2165364.jpg
21,6378.jpg,74,37,180,171,face_no_mask,746378.jpg
22,3138.png,124,5,264,162,face_with_mask,1243138.png
23,6154.jpg,116,123,164,184,face_other_covering,1166154.jpg
24,4588.png,641,88,770,261,face_with_mask,6414588.png
25,4141.png,159,95,231,182,face_with_mask,1594141.png
26,3082.png,23,26,98,120,face_with_mask,233082.png
27,6385.jpg,249,2,380,192,face_no_mask,2496385.jpg
28,3305.png,53,399,112,472,face_other_covering,533305.png
29,3334.png,271,52,406,195,face_no_mask,2713334.png
30,2063.jpg,276,208,738,791,face_with_mask,2762063.jpg
31,6314.jpg,164,113,317,319,face_no_mask,1646314.jpg
32,2510.png,436,135,559,256,face_with_mask,4362510.png
33,5483.jpg,216,40,306,158,face_other_covering,2165483.jpg
34,3856.png,740,110,840,255,face_with_mask,7403856.png
35,5983.jpg,540,200,1796,1541,face_no_mask,5405983.jpg
36,6255.jpg,376,215,810,595,face_other_covering,3766255.jpg
37,4866.png,269,98,314,148,face_with_mask,2694866.png
38,5507.jpg,67,50,384,486,face_no_mask,675507.jpg
39,4299.png,277,86,365,204,face_with_mask,2774299.png
40,4645.png,106,13,164,102,face_with_mask,1064645.png
41,4491.png,0,117,125,357,face_with_mask,04491.png
42,3825.png,459,272,524,347,face_with_mask,4593825.png
43,5972.jpg,76,74,183,206,face_no_mask,765972.jpg
44,6316.jpg,541,144,589,211,face_no_mask,5416316.jpg
45,5298.jpg,300,9,412,160,face_no_mask,3005298.jpg
46,5752.jpg,367,72,414,131,face_other_covering,3675752.jpg
47,4817.png,466,150,592,302,face_with_mask,4664817.png
48,3996.png,218,40,557,463,face_with_mask,2183996.png
49,4450.png,346,184,613,531,face_with_mask,3464450.png
50,5899.jpg,989,112,1275,486,face_no_mask,9895899.jpg
51,4799.png,85,71,347,397,face_with_mask,854799.png
52,6270.jpg,178,70,324,265,face_no_mask,1786270.jpg
53,3820.png,112,192,269,326,face_with_mask,1123820.png
54,5172.jpg,467,69,515,137,face_with_mask,4675172.jpg
55,1982.png,184,55,282,189,face_other_covering,1841982.png
56,3587.png,241,117,294,186,face_with_mask,2413587.png
57,5448.jpg,325,7,986,1011,face_other_covering,3255448.jpg
58,4381.png,657,201,703,260,face_no_mask,6574381.png
59,4676.png,364,174,411,230,face_other_covering,3644676.png
60,3638.png,393,26,483,146,face_with_mask,3933638.png
61,3582.png,199,5,263,87,face_with_mask,1993582.png
62,4064.png,244,344,323,452,face_with_mask,2444064.png
63,5206.jpg,3466,674,4738,1946,face_with_mask,34665206.jpg
64,2239.png,234,4,426,242,face_other_covering,2342239.png
65,4439.png,63,15,560,597,face_with_mask,634439.png
66,6232.jpg,530,425,630,543,face_no_mask,5306232.jpg
67,1891.jpg,255,3,517,354,face_with_mask,2551891.jpg
68,2439.png,209,42,314,190,face_with_mask,2092439.png
69,3822.png,239,33,349,182,face_with_mask,2393822.png
70,2889.png,351,132,430,242,face_with_mask,3512889.png
71,4733.png,66,74,399,451,face_with_mask,664733.png
72,3690.png,172,15,234,99,face_with_mask,1723690.png
73,5619.jpg,449,34,548,152,face_other_covering,4495619.jpg
74,5456.jpg,523,322,1355,1219,face_no_mask,5235456.jpg
75,2409.png,160,85,356,295,face_with_mask,1602409.png
76,5990.jpg,208,7,677,574,face_other_covering,2085990.jpg
77,5946.jpg,157,76,342,322,face_other_covering,1575946.jpg
78,2617.png,230,177,267,219,face_with_mask,2302617.png
79,4971.png,141,10,524,587,face_with_mask,1414971.png
80,2909.png,398,114,610,417,face_with_mask,3982909.png
81,2198.png,53,21,317,310,face_other_covering,532198.png
82,5409.jpg,336,51,519,313,face_no_mask,3365409.jpg
83,6288.jpg,617,98,693,200,face_other_covering,6176288.jpg
84,3293.png,333,201,535,469,face_with_mask,3333293.png
85,2016.jpg,540,202,747,470,face_with_mask,5402016.jpg
86,4751.png,53,14,312,401,face_with_mask,534751.png
87,3144.png,95,55,496,566,face_other_covering,953144.png
88,4356.png,634,221,695,301,face_with_mask,6344356.png
89,4098.png,257,119,349,245,face_other_covering,2574098.png
90,2205.png,83,6,545,558,face_with_mask,832205.png
91,4655.png,352,253,377,289,face_no_mask,3524655.png
92,5033.jpg,53,80,159,228,face_with_mask,535033.jpg
93,6293.jpg,388,110,471,219,face_other_covering,3886293.jpg
94,3947.png,91,3,508,568,face_with_mask,913947.png
95,3536.png,193,3,468,329,face_with_mask,1933536.png
96,3838.png,104,23,457,516,face_with_mask,1043838.png
97,6007.jpg,6,175,112,316,face_no_mask,66007.jpg
98,6292.jpg,871,195,1444,949,face_no_mask,8716292.jpg
99,3191.png,210,149,272,228,face_with_mask,2103191.png
100,3468.png,273,180,345,263,face_with_mask,2733468.png
101,2886.png,453,4,713,309,face_other_covering,4532886.png
102,3188.png,50,191,167,318,face_with_mask,503188.png
103,5097.jpg,487,206,562,293,face_with_mask,4875097.jpg
104,4081.png,179,49,242,130,face_with_mask,1794081.png
105,6295.jpg,211,119,338,279,face_no_mask,2116295.jpg
106,1813.jpg,203,56,590,552,face_no_mask,2031813.jpg
107,2371.png,238,364,303,431,face_with_mask,2382371.png
108,4046.png,786,72,921,252,face_with_mask,7864046.png
109,6341.jpg,452,30,697,328,face_no_mask,4526341.jpg
110,5691.jpg,203,127,278,232,face_other_covering,2035691.jpg
