,name,x1,x2,y1,y2,classname,face_no_mask,face_other_covering,face_with_mask,face_with_mask_incorrect
14938,4173.png,265,302,292,355,face_with_mask,0,0,1,0
12845,2798.png,773,5,1020,586,face_with_mask,0,0,1,0
6436,2097.jpg,601,172,727,349,face_other_covering,0,1,0,1
5,6427.png,218,98,577,580,face_with_mask_incorrect,0,0,0,1
10867,4511.png,297,6,452,240,face_with_mask,0,0,1,0
12391,4095.png,319,143,524,436,face_other_covering,0,1,0,1
14990,5108.jpg,374,68,422,128,face_with_mask,0,0,1,0
11133,3063.png,439,72,609,257,face_with_mask_incorrect,0,0,0,1
6961,2168.png,321,114,535,385,face_with_mask,0,0,1,0
5657,3523.png,70,0,378,444,face_other_covering,0,1,0,1
15040,2154.png,111,281,586,966,face_with_mask,0,0,1,0
5686,5989.jpg,884,174,986,302,face_no_mask,1,0,0,0
10966,2993.png,79,88,259,296,face_other_covering,0,1,0,1
12298,5270.jpg,206,31,270,108,face_other_covering,0,1,0,1
3901,3898.png,399,55,515,207,face_with_mask,0,0,1,0
7659,4228.png,91,3,628,529,face_other_covering,0,1,0,1
3261,2544.png,182,64,427,397,face_with_mask,0,0,1,0
4479,6392.jpg,0,100,55,293,face_with_mask,0,0,1,0
14751,2054.jpg,837,441,931,548,face_with_mask,0,0,1,0
1268,2151.jpg,809,44,858,99,face_no_mask,1,0,0,0
14256,5364.jpg,216,34,425,384,face_other_covering,0,1,0,1
8183,6378.jpg,74,37,180,171,face_no_mask,1,0,0,0
11798,3138.png,124,5,264,162,face_with_mask,0,0,1,0
13389,6154.jpg,116,123,164,184,face_other_covering,0,1,0,1
5832,4588.png,641,88,770,261,face_with_mask,0,0,1,0
15015,4141.png,159,95,231,182,face_with_mask,0,0,1,0
282,3082.png,23,26,98,120,face_with_mask,0,0,1,0
3757,6385.jpg,249,2,380,192,face_no_mask,1,0,0,0
15324,3305.png,53,399,112,472,face_other_covering,0,1,0,1
9561,3334.png,271,52,406,195,face_no_mask,1,0,0,0
10230,2063.jpg,276,208,738,791,face_with_mask,0,0,1,0
10061,6314.jpg,164,113,317,319,face_no_mask,1,0,0,0
11876,2510.png,436,135,559,256,face_with_mask,0,0,1,0
2292,5483.jpg,216,40,306,158,face_other_covering,0,1,0,1
13178,3856.png,740,110,840,255,face_with_mask,0,0,1,0
7519,5983.jpg,540,200,1796,1541,face_no_mask,1,0,0,0
2783,6255.jpg,376,215,810,595,face_other_covering,0,1,0,1
2629,4866.png,269,98,314,148,face_with_mask,0,0,1,0
11455,5507.jpg,67,50,384,486,face_no_mask,1,0,0,0
2866,4299.png,277,86,365,204,face_with_mask,0,0,1,0
5559,4645.png,106,13,164,102,face_with_mask,0,0,1,0
1786,4491.png,0,117,125,357,face_with_mask,0,0,1,0
11719,3825.png,459,272,524,347,face_with_mask,0,0,1,0
12468,5972.jpg,76,74,183,206,face_no_mask,1,0,0,0
14570,6316.jpg,541,144,589,211,face_no_mask,1,0,0,0
183,5298.jpg,300,9,412,160,face_no_mask,1,0,0,0
8051,5752.jpg,367,72,414,131,face_other_covering,0,1,0,1
3574,4817.png,466,150,592,302,face_with_mask,0,0,1,0
5245,3996.png,218,40,557,463,face_with_mask,0,0,1,0
9108,4450.png,346,184,613,531,face_with_mask,0,0,1,0
12445,5899.jpg,989,112,1275,486,face_no_mask,1,0,0,0
3933,4799.png,85,71,347,397,face_with_mask,0,0,1,0
14695,6270.jpg,178,70,324,265,face_no_mask,1,0,0,0
4252,3820.png,112,192,269,326,face_with_mask,0,0,1,0
9239,5172.jpg,467,69,515,137,face_with_mask,0,0,1,0
919,1982.png,184,55,282,189,face_other_covering,0,1,0,1
14909,3587.png,241,117,294,186,face_with_mask,0,0,1,0
10263,5448.jpg,325,7,986,1011,face_other_covering,0,1,0,1
13168,4381.png,657,201,703,260,face_no_mask,1,0,0,0
12285,4676.png,364,174,411,230,face_other_covering,0,1,0,1
7298,3638.png,393,26,483,146,face_with_mask,0,0,1,0
5638,3582.png,199,5,263,87,face_with_mask,0,0,1,0
11572,4064.png,244,344,323,452,face_with_mask,0,0,1,0
14779,5206.jpg,3466,674,4738,1946,face_with_mask,0,0,1,0
15296,2239.png,234,4,426,242,face_other_covering,0,1,0,1
805,4439.png,63,15,560,597,face_with_mask,0,0,1,0
5399,6232.jpg,530,425,630,543,face_no_mask,1,0,0,0
1581,1891.jpg,255,3,517,354,face_with_mask,0,0,1,0
2945,2439.png,209,42,314,190,face_with_mask,0,0,1,0
8788,3822.png,239,33,349,182,face_with_mask,0,0,1,0
2825,2889.png,351,132,430,242,face_with_mask,0,0,1,0
14040,4733.png,66,74,399,451,face_with_mask,0,0,1,0
10523,3690.png,172,15,234,99,face_with_mask,0,0,1,0
11036,5619.jpg,449,34,548,152,face_other_covering,0,1,0,1
5511,5456.jpg,523,322,1355,1219,face_no_mask,1,0,0,0
14899,2409.png,160,85,356,295,face_with_mask,0,0,1,0
1904,5990.jpg,208,7,677,574,face_other_covering,0,1,0,1
14807,5946.jpg,157,76,342,322,face_other_covering,0,1,0,1
13152,2617.png,230,177,267,219,face_with_mask,0,0,1,0
11260,4971.png,141,10,524,587,face_with_mask,0,0,1,0
7290,2909.png,398,114,610,417,face_with_mask,0,0,1,0
7630,2198.png,53,21,317,310,face_other_covering,0,1,0,1
10857,5409.jpg,336,51,519,313,face_no_mask,1,0,0,0
14329,6288.jpg,617,98,693,200,face_other_covering,0,1,0,1
8399,3293.png,333,201,535,469,face_with_mask,0,0,1,0
431,2016.jpg,540,202,747,470,face_with_mask,0,0,1,0
10280,4751.png,53,14,312,401,face_with_mask,0,0,1,0
12506,3144.png,95,55,496,566,face_other_covering,0,1,0,1
83,4356.png,634,221,695,301,face_with_mask,0,0,1,0
4810,4098.png,257,119,349,245,face_other_covering,0,1,0,1
9160,2205.png,83,6,545,558,face_with_mask,0,0,1,0
2369,4655.png,352,253,377,289,face_no_mask,1,0,0,0
8673,5033.jpg,53,80,159,228,face_with_mask,0,0,1,0
9334,6293.jpg,388,110,471,219,face_other_covering,0,1,0,1
1979,3947.png,91,3,508,568,face_with_mask,0,0,1,0
6352,3536.png,193,3,468,329,face_with_mask,0,0,1,0
544,3838.png,104,23,457,516,face_with_mask,0,0,1,0
12594,6007.jpg,6,175,112,316,face_no_mask,1,0,0,0
320,6292.jpg,871,195,1444,949,face_no_mask,1,0,0,0
11949,3191.png,210,149,272,228,face_with_mask,0,0,1,0
11298,3468.png,273,180,345,263,face_with_mask,0,0,1,0
13655,2886.png,453,4,713,309,face_other_covering,0,1,0,1
9692,3188.png,50,191,167,318,face_with_mask,0,0,1,0
7957,5097.jpg,487,206,562,293,face_with_mask,0,0,1,0
1207,4081.png,179,49,242,130,face_with_mask,0,0,1,0
14174,6295.jpg,211,119,338,279,face_no_mask,1,0,0,0
7381,1813.jpg,203,56,590,552,face_no_mask,1,0,0,0
5806,2371.png,238,364,303,431,face_with_mask,0,0,1,0
10557,4046.png,786,72,921,252,face_with_mask,0,0,1,0
11266,6341.jpg,452,30,697,328,face_no_mask,1,0,0,0
6125,5691.jpg,203,127,278,232,face_other_covering,0,1,0,1
6310,3698.png,330,118,451,255,face_with_mask,0,0,1,0
13630,3913.png,3,4,248,373,face_other_covering,0,1,0,1
9548,2826.png,367,12,649,401,face_with_mask,0,0,1,0
1745,6005.jpg,493,53,885,592,face_no_mask,1,0,0,0
4488,2318.png,894,6,1270,388,face_other_covering,0,1,0,1
6170,6231.jpg,180,151,568,657,face_no_mask,1,0,0,0
12935,2819.png,0,10,192,360,face_other_covering,0,1,0,1
14778,5961.jpg,110,400,298,583,face_no_mask,1,0,0,0
10590,2223.png,340,154,444,249,face_with_mask,0,0,1,0
1551,6041.jpg,47,116,160,242,face_no_mask,1,0,0,0
11417,5176.jpg,450,165,634,350,face_other_covering,0,1,0,1
13490,4964.png,319,283,376,358,face_with_mask,0,0,1,0
14104,5085.jpeg,1121,33,1403,363,face_with_mask,0,0,1,0
5751,1897.jpg,89,1,252,203,face_no_mask,1,0,0,0
4266,4856.png,237,86,304,173,face_with_mask,0,0,1,0
4609,5185.jpg,388,0,526,182,face_with_mask,0,0,1,0
5187,4042.png,115,38,501,487,face_with_mask,0,0,1,0
1991,4113.png,409,59,564,287,face_with_mask,0,0,1,0
13965,3584.png,277,428,307,467,face_no_mask,1,0,0,0
10908,5225.jpg,725,86,1224,732,face_other_covering,0,1,0,1
4478,6392.jpg,42,232,94,302,face_no_mask,1,0,0,0
7009,5963.jpg,0,365,97,502,face_no_mask,1,0,0,0
1306,6013.jpg,307,115,364,197,face_no_mask,1,0,0,0
6763,2739.png,451,79,532,209,face_with_mask,0,0,1,0
2811,4531.png,237,184,485,592,face_with_mask,0,0,1,0
13364,2685.png,32,251,120,371,face_with_mask,0,0,1,0
2034,5557.jpg,854,51,1905,1476,face_other_covering,0,1,0,1
3190,2646.png,165,2,566,515,face_with_mask,0,0,1,0
8884,5128.jpg,67,69,111,134,face_with_mask,0,0,1,0
13757,4008.png,622,3,852,305,face_with_mask,0,0,1,0
463,5611.jpg,1003,123,1118,285,face_other_covering,0,1,0,1
1405,5472.jpg,267,34,448,250,face_no_mask,1,0,0,0
4600,1850.jpg,267,243,494,526,face_with_mask,0,0,1,0
9743,6129.jpg,649,14,850,262,face_no_mask,1,0,0,0
1820,3376.png,76,182,135,256,face_with_mask,0,0,1,0
885,4130.png,140,30,513,510,face_with_mask,0,0,1,0
1259,2151.jpg,581,54,636,132,face_with_mask,0,0,1,0
5584,4499.png,480,107,522,162,face_with_mask,0,0,1,0
13622,4050.png,708,181,885,397,face_with_mask,0,0,1,0
2556,3572.png,96,257,147,326,face_with_mask,0,0,1,0
7821,5477.jpg,177,71,373,365,face_other_covering,0,1,0,1
9319,2038.jpg,362,112,382,133,face_no_mask,1,0,0,0
14509,4393.png,70,20,406,453,face_with_mask,0,0,1,0
4607,5185.jpg,825,98,977,294,face_with_mask,0,0,1,0
14022,4529.png,7,9,495,597,face_with_mask,0,0,1,0
64,3283.png,4,334,162,653,face_no_mask,1,0,0,0
4997,4219.png,568,152,644,233,face_with_mask,0,0,1,0
7413,4417.png,26,8,805,574,face_with_mask,0,0,1,0
13732,3677.png,185,24,566,574,face_with_mask,0,0,1,0
13304,3422.png,811,0,911,105,face_with_mask,0,0,1,0
11894,6115.jpg,343,29,522,272,face_no_mask,1,0,0,0
6222,4401.png,223,111,314,209,face_with_mask,0,0,1,0
4113,2656.png,88,6,646,567,face_with_mask,0,0,1,0
8624,1890.jpg,145,41,223,144,face_other_covering,0,1,0,1
13336,5037.jpg,256,77,414,280,face_with_mask,0,0,1,0
12861,5399.jpg,182,29,355,263,face_other_covering,0,1,0,1
7569,1837.jpg,870,17,1008,288,face_with_mask,0,0,1,0
879,2841.png,422,4,957,519,face_with_mask,0,0,1,0
1075,4214.png,383,20,523,195,face_with_mask,0,0,1,0
5421,3214.png,41,193,115,293,face_with_mask,0,0,1,0
2669,3801.png,129,229,372,530,face_with_mask,0,0,1,0
14635,6109.jpg,522,133,629,274,face_other_covering,0,1,0,1
9212,5112.jpg,67,65,327,497,face_other_covering,0,1,0,1
3298,2550.png,369,39,412,87,face_with_mask,0,0,1,0
9337,5062.jpg,195,73,262,181,face_with_mask,0,0,1,0
2156,6237.jpg,330,96,492,315,face_no_mask,1,0,0,0
7163,5042.jpg,272,49,418,241,face_with_mask,0,0,1,0
4403,6176.jpg,543,172,693,348,face_no_mask,1,0,0,0
9585,2637.png,313,41,373,139,face_with_mask,0,0,1,0
11908,3178.png,625,17,802,242,face_with_mask,0,0,1,0
2726,3732.png,297,64,407,166,face_other_covering,0,1,0,1
4435,3181.png,248,1,313,59,face_no_mask,1,0,0,0
12353,2005.jpg,2266,594,3247,1700,face_with_mask,0,0,1,0
4277,3000.png,373,3,617,339,face_with_mask,0,0,1,0
7573,1968.jpg,987,235,1102,408,face_other_covering,0,1,0,1
9849,2839.png,95,41,451,591,face_with_mask,0,0,1,0
11189,2812.png,293,51,442,263,face_with_mask_incorrect,0,0,0,1
4463,3811.png,406,277,471,364,face_with_mask,0,0,1,0
12904,1953.jpg,1617,456,1997,963,face_no_mask,1,0,0,0
11578,4460.png,261,143,309,208,face_with_mask,0,0,1,0
12905,1953.jpg,2000,318,2555,1154,face_with_mask,0,0,1,0
12882,3497.png,176,96,457,462,face_with_mask,0,0,1,0
7548,3761.png,479,235,716,564,face_with_mask,0,0,1,0
13918,4823.png,22,203,243,533,face_with_mask,0,0,1,0
9220,4568.png,74,133,236,312,face_other_covering,0,1,0,1
12005,4937.png,337,86,712,554,face_with_mask,0,0,1,0
11967,2434.png,374,60,544,259,face_with_mask,0,0,1,0
5424,3214.png,433,267,509,362,face_with_mask,0,0,1,0
4509,2563.png,410,142,508,273,face_with_mask,0,0,1,0
