index,name,x1,x2,y1,y2,classname,newFilename
3919,3171.png,119,6,462,395,face_with_mask,1193171.png
52,4997.jpg,61,89,138,174,face_with_mask,614997.jpg
3185,4425.png,79,10,483,476,face_other_covering,794425.png
493,3294.png,281,208,362,300,face_with_mask_incorrect,2813294.png
7223,5993.jpg,374,129,453,217,face_no_mask,3745993.jpg
943,1929.jpg,556,101,805,398,face_other_covering,5561929.jpg
1239,5067.jpg,62,74,439,529,face_with_mask,625067.jpg
1943,4216.png,68,0,240,281,face_with_mask,684216.png
4307,3829.png,60,163,207,370,face_with_mask,603829.png
3924,2499.png,333,173,482,383,face_with_mask,3332499.png
3252,4554.png,261,145,448,395,face_other_covering,2614554.png
227,5027.jpg,122,36,225,149,face_no_mask,1225027.jpg
2643,2093.jpg,325,40,397,117,face_other_covering,3252093.jpg
2320,2720.png,266,26,494,319,face_with_mask,2662720.png
27,3939.png,674,134,714,174,face_with_mask,6743939.png
477,4325.png,487,98,515,132,face_no_mask,4874325.png
3236,3520.png,105,184,348,468,face_other_covering,1053520.png
3633,2014.jpg,1369,96,1737,552,face_no_mask,13692014.jpg
2392,2517.png,137,57,331,349,face_other_covering,1372517.png
5475,1920.jpg,187,131,410,380,face_with_mask,1871920.jpg
134,2492.png,349,80,387,126,face_with_mask,3492492.png
3678,3670.png,312,29,523,305,face_with_mask,3123670.png
6808,5523.jpg,290,42,476,277,face_other_covering,2905523.jpg
6786,4690.png,706,107,829,265,face_other_covering,7064690.png
5654,6034.jpg,198,172,353,400,face_no_mask,1986034.jpg
5658,2670.png,303,111,338,245,face_with_mask,3032670.png
6234,5142.jpg,293,75,628,465,face_with_mask_incorrect,2935142.jpg
6936,5222.jpg,233,849,1084,2233,face_other_covering,2335222.jpg
1361,2259.png,421,119,455,155,face_with_mask,4212259.png
4870,3684.png,246,153,313,244,face_with_mask_incorrect,2463684.png
4389,5263.jpg,742,409,809,504,face_with_mask,7425263.jpg
5808,4379.png,304,192,359,265,face_with_mask,3044379.png
4246,3835.png,407,98,607,370,face_with_mask,4073835.png
286,4714.png,200,169,299,269,face_with_mask,2004714.png
3569,3968.png,830,103,989,305,face_with_mask,8303968.png
2461,1939.jpg,407,152,565,321,face_with_mask,4071939.jpg
4593,1960.jpg,261,33,411,253,face_with_mask,2611960.jpg
597,6349.jpg,31,2,157,134,face_no_mask,316349.jpg
5080,2519.png,360,62,606,366,face_other_covering,3602519.png
2846,5237.jpg,853,233,1005,443,face_with_mask,8535237.jpg
2271,6266.jpg,284,186,351,283,face_no_mask,2846266.jpg
163,3466.png,263,164,338,328,face_with_mask,2633466.png
5378,5693.jpeg,669,185,877,459,face_no_mask,6695693.jpeg
6871,6316.jpg,637,326,716,409,face_no_mask,6376316.jpg
6854,5719.jpg,319,120,696,593,face_other_covering,3195719.jpg
1388,4420.png,429,6,715,374,face_with_mask,4294420.png
4137,2278.png,234,2,280,62,face_no_mask,2342278.png
1659,2345.png,158,30,408,391,face_with_mask,1582345.png
2589,6259.jpeg,412,111,650,433,face_no_mask,4126259.jpeg
4064,4630.png,204,1,478,213,face_with_mask,2044630.png
3066,3642.png,970,71,1129,369,face_with_mask,9703642.png
3764,3259.png,244,53,358,209,face_other_covering,2443259.png
4308,3829.png,502,91,717,368,face_with_mask,5023829.png
4937,4689.png,285,3,486,256,face_with_mask,2854689.png
3581,3128.png,684,53,802,222,face_with_mask,6843128.png
4596,3725.png,257,62,306,115,face_with_mask,2573725.png
1079,3295.png,481,57,575,160,face_with_mask,4813295.png
4616,4563.png,144,7,429,374,face_with_mask,1444563.png
3485,2263.png,69,15,344,448,face_with_mask,692263.png
6739,4805.png,186,10,412,283,face_other_covering,1864805.png
1920,2020.jpg,597,79,686,193,face_with_mask,5972020.jpg
6932,6108.jpg,701,291,958,609,face_no_mask,7016108.jpg
2506,4203.png,296,203,337,256,face_with_mask_incorrect,2964203.png
382,3566.png,205,145,478,465,face_other_covering,2053566.png
4960,3905.png,318,166,421,296,face_with_mask,3183905.png
5406,4975.png,455,93,599,300,face_with_mask,4554975.png
4874,6379.jpg,225,9,405,266,face_other_covering,2256379.jpg
2165,4076.png,312,48,372,117,face_with_mask,3124076.png
2876,2298.png,578,49,647,178,face_with_mask,5782298.png
1055,6175.jpg,397,164,458,240,face_no_mask,3976175.jpg
5631,2714.png,337,35,413,130,face_with_mask,3372714.png
5183,5531.jpg,314,24,386,117,face_other_covering,3145531.jpg
5809,4379.png,379,141,424,211,face_no_mask,3794379.png
5892,3937.png,465,97,535,182,face_other_covering,4653937.png
825,2569.png,208,237,360,393,face_other_covering,2082569.png
7006,4368.png,154,154,275,254,face_with_mask,1544368.png
5332,3468.png,192,3,225,41,face_with_mask,1923468.png
5484,3346.png,177,40,518,507,face_other_covering,1773346.png
4513,4363.png,53,6,642,552,face_with_mask,534363.png
1089,4424.png,352,38,526,228,face_with_mask,3524424.png
3668,2013.jpg,364,75,504,263,face_with_mask,3642013.jpg
1487,6290.jpg,283,130,448,366,face_with_mask_incorrect,2836290.jpg
97,5806.jpg,343,175,736,674,face_no_mask,3435806.jpg
842,6005.jpg,493,53,885,592,face_no_mask,4936005.jpg
3818,5379.jpg,613,125,771,301,face_no_mask,6135379.jpg
2054,4856.png,478,27,551,140,face_with_mask,4784856.png
6943,3021.png,308,35,395,163,face_with_mask,3083021.png
6267,3941.png,421,231,521,450,face_with_mask,4213941.png
4973,3271.png,552,62,739,332,face_other_covering,5523271.png
6600,2711.png,381,205,482,349,face_other_covering,3812711.png
1419,4606.png,218,32,316,180,face_with_mask,2184606.png
2753,2793.png,124,12,504,504,face_with_mask,1242793.png
4492,3858.png,91,15,190,141,face_with_mask,913858.png
1758,3648.png,96,113,181,221,face_with_mask,963648.png
1274,4519.png,307,134,351,178,face_no_mask,3074519.png
2614,3378.png,307,97,371,171,face_other_covering,3073378.png
306,5536.jpg,148,20,195,100,face_no_mask,1485536.jpg
6285,3383.png,129,165,417,493,face_with_mask,1293383.png
2855,3241.png,51,37,231,286,face_with_mask,513241.png
2324,2387.png,188,80,522,550,face_with_mask,1882387.png
5874,1956.jpg,31,233,95,310,face_with_mask,311956.jpg
669,4720.png,402,97,520,237,face_with_mask,4024720.png
4822,1916.jpg,541,20,607,107,face_with_mask,5411916.jpg
1467,3338.png,97,17,435,490,face_with_mask,973338.png
5380,2940.png,147,53,244,181,face_with_mask,1472940.png
6960,6372.jpg,126,295,296,552,face_no_mask,1266372.jpg
648,6107.png,1016,59,1204,308,face_no_mask,10166107.png
507,5915.jpg,75,29,354,436,face_no_mask,755915.jpg
2784,6022.jpg,346,21,560,276,face_no_mask,3466022.jpg
5041,4926.png,714,45,939,392,face_with_mask,7144926.png
7230,3305.png,53,399,112,472,face_other_covering,533305.png
3791,3950.png,440,398,722,615,face_with_mask,4403950.png
3314,3718.png,537,71,685,256,face_with_mask,5373718.png
2574,2697.png,122,141,325,456,face_other_covering,1222697.png
3125,2090.jpg,327,60,480,236,face_with_mask,3272090.jpg
193,5569.jpg,133,31,341,305,face_no_mask,1335569.jpg
3209,4826.png,925,98,1056,252,face_with_mask,9254826.png
3969,3048.png,158,39,570,582,face_with_mask,1583048.png
4176,3822.png,395,39,472,141,face_no_mask,3953822.png
1712,3329.png,1007,186,1085,281,face_other_covering,10073329.png
2977,4501.png,401,59,599,332,face_with_mask,4014501.png
1955,3519.png,209,72,365,309,face_other_covering,2093519.png
1861,2051.jpg,40,62,111,136,face_with_mask,402051.jpg
117,3369.png,185,166,513,596,face_with_mask,1853369.png
1944,4216.png,68,3,240,278,face_with_mask,684216.png
1514,2422.png,308,38,337,74,face_with_mask,3082422.png
1882,3898.png,298,13,365,124,face_with_mask,2983898.png
4019,2367.png,215,48,316,204,face_with_mask,2152367.png
4589,4723.png,165,30,238,131,face_with_mask,1654723.png
1856,4249.png,307,1,415,115,face_no_mask,3074249.png
6065,4366.png,396,9,810,542,face_with_mask,3964366.png
731,5501.jpg,626,42,904,375,face_other_covering,6265501.jpg
2016,4326.png,173,48,381,311,face_with_mask,1734326.png
4018,3253.png,335,3,495,170,face_no_mask,3353253.png
6889,5133.jpg,1141,131,1276,265,face_with_mask,11415133.jpg
7201,3740.png,4,73,52,157,face_with_mask,43740.png
4112,5104.jpg,605,146,783,337,face_no_mask,6055104.jpg
6681,5121.jpg,78,26,140,93,face_with_mask,785121.jpg
5359,4038.png,196,46,521,554,face_with_mask,1964038.png
346,4177.png,255,138,417,334,face_with_mask,2554177.png
480,6313.jpg,209,57,413,303,face_no_mask,2096313.jpg
3927,2499.png,35,46,82,105,face_no_mask,352499.png
1680,3131.png,278,95,324,158,face_with_mask,2783131.png
72,5705.jpg,132,24,279,222,face_other_covering,1325705.jpg
3230,2739.png,483,3,530,55,face_with_mask,4832739.png
6935,4874.png,45,7,417,478,face_other_covering,454874.png
7064,5254.jpg,685,2,2030,1481,face_no_mask,6855254.jpg
5199,5619.jpg,739,34,825,152,face_with_mask,7395619.jpg
5974,3202.png,415,227,456,280,face_with_mask,4153202.png
628,2018.jpg,780,192,1111,601,face_with_mask_incorrect,7802018.jpg
839,5159.jpg,1330,557,1663,902,face_with_mask,13305159.jpg
2627,1946.jpg,208,66,294,166,face_with_mask,2081946.jpg
2515,4025.png,257,20,307,83,face_with_mask,2574025.png
1633,2978.png,347,177,392,232,face_with_mask,3472978.png
1272,4266.png,175,8,328,217,face_other_covering,1754266.png
5934,2295.png,159,54,305,236,face_with_mask,1592295.png
4606,6126.jpg,313,40,590,379,face_no_mask,3136126.jpg
1662,3139.png,11,19,139,132,face_with_mask,113139.png
5669,6036.jpg,650,108,755,233,face_other_covering,6506036.jpg
3337,2778.png,82,1,437,499,face_with_mask,822778.png
3334,3662.png,52,1,638,621,face_with_mask,523662.png
4220,2548.png,193,193,285,315,face_with_mask,1932548.png
1747,3693.png,398,4,669,246,face_with_mask,3983693.png
6553,1886.jpg,2055,292,3608,1536,face_with_mask,20551886.jpg
6166,4151.png,442,85,701,558,face_with_mask,4424151.png
6807,6103.jpg,617,266,744,373,face_no_mask,6176103.jpg
4469,5338.jpg,234,50,322,182,face_other_covering,2345338.jpg
6016,2887.png,199,5,283,129,face_other_covering,1992887.png
1900,2494.png,654,279,852,518,face_with_mask,6542494.png
1072,5248.jpg,146,5,389,301,face_other_covering,1465248.jpg
4047,4147.png,216,21,469,327,face_with_mask,2164147.png
926,2939.png,192,1,318,197,face_with_mask,1922939.png
6731,3918.png,147,142,248,253,face_with_mask,1473918.png
1989,3018.png,265,125,328,216,face_with_mask,2653018.png
2889,3547.png,235,0,527,318,face_other_covering,2353547.png
5478,6125.jpg,147,99,754,748,face_no_mask,1476125.jpg
5315,4227.png,284,0,706,527,face_with_mask,2844227.png
