,name,x1,x2,y1,y2,classname,newFilename
266,3205.png,97,146,460,671,face_with_mask,973205.png
590,3217.png,421,20,473,92,face_with_mask,4213217.png
208,4536.png,209,186,367,358,face_with_mask,2094536.png
1942,5432.jpg,238,73,445,350,face_other_covering,2385432.jpg
2586,4002.png,516,68,638,265,face_with_mask_incorrect,5164002.png
3610,4187.png,395,9,555,204,face_with_mask,3954187.png
373,4896.png,148,24,199,91,face_no_mask,1484896.png
2798,5923.jpg,303,0,504,218,face_no_mask,3035923.jpg
2277,2686.png,1,175,46,254,face_with_mask,12686.png
600,00653_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00653_Mask_Mouth_Chin.jpg
2112,1914.jpg,395,13,446,72,face_no_mask,3951914.jpg
601,6282.jpg,223,269,295,345,face_no_mask,2236282.jpg
514,00561_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00561_Mask_Mouth_Chin.jpg
1535,1998.jpg,622,0,2915,2411,face_other_covering,6221998.jpg
263,5175.jpg,842,263,1038,533,face_with_mask,8425175.jpg
960,01037_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01037_Mask_Mouth_Chin.jpg
1840,01956_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01956_Mask_Mouth_Chin.jpg
271,00298_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00298_Mask_Mouth_Chin.jpg
3222,2941.png,345,270,400,344,face_with_mask,3452941.png
4809,3420.png,533,187,616,297,face_with_mask,5333420.png
1219,6073.jpg,241,251,587,620,face_other_covering,2416073.jpg
874,00942_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00942_Mask_Nose_Mouth.jpg
965,01042_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01042_Mask_Mouth_Chin.jpg
1600,01709_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01709_Mask_Mouth_Chin.jpg
1268,01359_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01359_Mask_Mouth_Chin.jpg
1334,01432_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01432_Mask_Mouth_Chin.jpg
2316,5302.jpg,3,0,421,415,face_no_mask,35302.jpg
4434,2148.jpg,35,229,146,381,face_with_mask_incorrect,352148.jpg
599,2731.png,111,5,219,173,face_with_mask,1112731.png
3119,6175.jpg,374,97,415,162,face_no_mask,3746175.jpg
3469,2365.png,430,38,535,201,face_with_mask,4302365.png
3725,3759.png,127,5,627,608,face_with_mask,1273759.png
829,00894_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00894_Mask_Mouth_Chin.jpg
1976,5514.jpg,947,156,1449,763,face_with_mask,9475514.jpg
2286,4325.png,86,85,153,176,face_with_mask,864325.png
376,00417_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00417_Mask_Chin.jpg
2447,5008.jpg,113,60,394,466,face_with_mask,1135008.jpg
1690,01801_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01801_Mask_Mouth_Chin.jpg
1252,01342_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,01342_Mask_Nose_Mouth.jpg
901,00973_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00973_Mask_Nose_Mouth.jpg
697,3064.png,538,96,588,192,face_no_mask,5383064.png
4974,6171.jpg,284,17,468,328,face_no_mask,2846171.jpg
1436,2404.png,156,239,255,335,face_other_covering,1562404.png
417,2415.png,170,60,391,288,face_other_covering,1702415.png
4874,3071.png,752,10,1016,319,face_no_mask,7523071.png
306,6259.jpeg,106,14,417,412,face_no_mask,1066259.jpeg
134,2739.png,451,79,532,209,face_with_mask,4512739.png
1244,01334_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01334_Mask_Mouth_Chin.jpg
5011,2360.png,286,6,666,362,face_with_mask,2862360.png
822,6398.jpg,0,442,232,859,face_with_mask,06398.jpg
3139,5321.jpg,1,68,635,859,face_no_mask,15321.jpg
1840,6082.jpg,127,10,292,228,face_other_covering,1276082.jpg
4283,4223.png,3,2,872,700,face_with_mask,34223.png
4075,2084.jpg,758,99,802,150,face_other_covering,7582084.jpg
2735,1958.jpg,249,76,636,571,face_other_covering,2491958.jpg
1614,01724_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01724_Mask_Mouth_Chin.jpg
345,00377_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00377_Mask_Mouth_Chin.jpg
4058,3430.png,447,272,465,300,face_no_mask,4473430.png
1344,2471.png,156,29,270,177,face_with_mask,1562471.png
2389,1838.jpg,126,131,209,228,face_other_covering,1261838.jpg
3700,2961.png,318,190,393,280,face_with_mask,3182961.png
395,00440_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00440_Mask_Mouth_Chin.jpg
3711,3511.png,250,202,329,350,face_no_mask,2503511.png
3287,4764.png,415,80,511,229,face_with_mask,4154764.png
3372,4998.jpg,273,78,349,163,face_with_mask,2734998.jpg
341,2744.png,538,150,624,266,face_with_mask,5382744.png
433,00479_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00479_Mask_Nose_Mouth.jpg
2055,2419.png,184,315,214,351,face_with_mask,1842419.png
1883,4530.png,300,198,378,298,face_other_covering,3004530.png
576,3469.png,380,108,482,226,face_with_mask,3803469.png
2228,4652.png,198,43,409,312,face_with_mask,1984652.png
993,01070_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,01070_Mask_Nose_Mouth.jpg
2618,4896.png,461,31,562,134,face_with_mask,4614896.png
5041,6253.jpg,357,158,529,386,face_no_mask,3576253.jpg
4484,6206.jpg,334,35,527,325,face_no_mask,3346206.jpg
4359,3988.png,274,198,332,275,face_with_mask,2743988.png
340,1947.jpg,914,172,1032,310,face_with_mask,9141947.jpg
2211,6141.jpg,374,201,541,455,face_no_mask,3746141.jpg
1081,01164_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01164_Mask_Mouth_Chin.jpg
2352,5939.jpg,285,9,369,101,face_no_mask,2855939.jpg
1050,2336.png,212,5,429,285,face_with_mask,2122336.png
3880,3524.png,184,188,228,240,face_with_mask,1843524.png
1049,2406.png,192,445,280,546,face_with_mask,1922406.png
405,2908.png,387,2,497,151,face_with_mask,3872908.png
3123,4277.png,137,135,411,451,face_with_mask,1374277.png
1630,01740_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01740_Mask_Mouth_Chin.jpg
292,00319_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00319_Mask_Chin.jpg
152,2038.jpg,362,112,382,133,face_no_mask,3622038.jpg
3676,4592.png,221,75,351,225,face_with_mask,2214592.png
31,00034_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00034_Mask_Mouth_Chin.jpg
1236,3881.png,38,5,482,555,face_with_mask,383881.png
1251,01341_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01341_Mask_Mouth_Chin.jpg
3061,2475.png,167,1,520,540,face_with_mask,1672475.png
381,4074.png,215,59,247,106,face_with_mask,2154074.png
4166,1972.jpg,449,195,495,256,face_with_mask,4491972.jpg
3835,6423.png,154,0,560,504,face_with_mask,1546423.png
1532,01635_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01635_Mask_Mouth_Chin.jpg
632,3494.png,12,81,127,228,face_with_mask,123494.png
1041,3948.png,381,69,441,151,face_with_mask,3813948.png
1047,01128_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01128_Mask_Mouth_Chin.jpg
3556,3805.png,233,21,549,468,face_with_mask,2333805.png
374,00415_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00415_Mask_Mouth_Chin.jpg
2610,5476.jpg,390,105,527,279,face_other_covering,3905476.jpg
21,00022_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00022_Mask_Mouth_Chin.jpg
1680,4847.png,224,175,425,403,face_with_mask_incorrect,2244847.png
4094,2470.png,60,42,614,488,face_with_mask,602470.png
1190,01278_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01278_Mask_Mouth_Chin.jpg
104,4081.png,179,49,242,130,face_with_mask,1794081.png
1560,01664_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01664_Mask_Mouth_Chin.jpg
149,00164_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00164_Mask_Chin.jpg
2052,4711.png,719,64,852,212,face_with_mask,7194711.png
2242,3545.png,422,34,511,155,face_with_mask,4223545.png
762,00824_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00824_Mask_Mouth_Chin.jpg
1720,2669.png,200,32,272,112,face_with_mask,2002669.png
4847,4723.png,466,46,505,92,face_with_mask,4664723.png
1595,01703_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01703_Mask_Mouth_Chin.jpg
4005,3182.png,146,127,587,605,face_with_mask,1463182.png
1533,01636_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01636_Mask_Mouth_Chin.jpg
4977,2125.png,934,179,1044,374,face_other_covering,9342125.png
1808,4668.png,140,5,441,433,face_other_covering,1404668.png
1401,01502_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01502_Mask_Mouth_Chin.jpg
4459,3528.png,163,22,421,364,face_with_mask,1633528.png
1585,6150.jpg,464,180,495,252,face_no_mask,4646150.jpg
1412,01513_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01513_Mask_Mouth_Chin.jpg
862,00928_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00928_Mask_Nose_Mouth.jpg
4549,6267.jpg,287,154,407,325,face_no_mask,2876267.jpg
4801,5954.jpg,0,316,59,412,face_no_mask,05954.jpg
1102,2373.png,214,202,235,229,face_no_mask,2142373.png
1558,4522.png,194,8,497,487,face_other_covering,1944522.png
3745,3073.png,123,30,229,163,face_with_mask,1233073.png
349,4718.png,212,190,281,256,face_no_mask,2124718.png
1668,6354.jpg,453,64,816,611,face_other_covering,4536354.jpg
745,00807_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00807_Mask_Mouth_Chin.jpg
1605,5470.jpg,214,64,392,254,face_other_covering,2145470.jpg
890,00961_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00961_Mask_Mouth_Chin.jpg
1833,01949_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01949_Mask_Mouth_Chin.jpg
4961,5440.jpg,363,2,1017,601,face_with_mask,3635440.jpg
4446,3861.png,450,19,481,82,face_no_mask,4503861.png
2455,3910.png,571,199,585,226,face_with_mask,5713910.png
4701,2550.png,48,20,81,59,face_with_mask,482550.png
