,Unnamed: 0,name,x1,x2,y1,y2,classname,newFilename
1108,1113,5727.jpg,639,21,901,399,face_other_covering,6395727.jpg
3404,3418,2323.png,332,153,390,230,face_with_mask,3322323.png
3204,3216,5121.jpg,385,84,485,226,face_with_mask,3855121.jpg
1579,1585,6150.jpg,464,180,495,252,face_no_mask,4646150.jpg
6696,1624,01734_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01734_Mask_Mouth_Chin.jpg
3011,3022,2835.png,120,134,394,562,face_with_mask,1202835.png
5897,825,00890_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00890_Mask_Mouth_Chin.jpg
951,956,5376.jpg,328,132,423,239,face_other_covering,3285376.jpg
1619,1626,3146.png,339,125,487,308,face_other_covering,3393146.png
944,949,6247.jpg,494,472,552,548,face_no_mask,4946247.jpg
4974,4991,4691.png,252,180,307,241,face_other_covering,2524691.png
5931,859,00925_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00925_Mask_Mouth_Chin.jpg
1891,1900,6198.jpg,523,21,665,218,face_no_mask,5236198.jpg
624,626,4999.jpg,895,186,1077,431,face_with_mask,8954999.jpg
4801,4818,3892.png,210,84,259,131,face_with_mask,2103892.png
525,527,2711.png,150,144,281,299,face_other_covering,1502711.png
392,393,2636.png,336,34,568,340,face_no_mask,3362636.png
2179,2190,5975.jpg,143,375,236,468,face_no_mask,1435975.jpg
5285,213,00236_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00236_Mask_Mouth_Chin.jpg
1487,1493,3553.png,180,69,370,336,face_with_mask,1803553.png
5742,670,00727_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00727_Mask_Chin.jpg
3896,3912,6091.jpeg,1269,293,3558,2944,face_no_mask,12696091.jpeg
1124,1129,5135.png,127,39,177,107,face_with_mask,1275135.png
1656,1663,5416.jpg,168,38,406,381,face_with_mask,1685416.jpg
5609,537,00584_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00584_Mask_Mouth_Chin.jpg
6701,1629,01739_Mask_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01739_Mask_Chin.jpg
5960,888,00958_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00958_Mask_Mouth_Chin.jpg
1051,1056,2460.png,650,5,805,184,face_no_mask,6502460.png
5758,686,00746_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00746_Mask_Mouth_Chin.jpg
1069,1074,3421.png,386,163,513,319,face_with_mask,3863421.png
6293,1221,01311_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01311_Mask_Mouth_Chin.jpg
5904,832,00897_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00897_Mask_Nose_Mouth.jpg
1519,1525,4283.png,70,7,423,427,face_with_mask,704283.png
547,549,5864.jpg,240,122,618,507,face_no_mask,2405864.jpg
6822,1750,01863_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01863_Mask_Mouth_Chin.jpg
703,708,1825.jpg,374,90,459,180,face_with_mask,3741825.jpg
4168,4184,3018.png,364,139,429,225,face_with_mask,3643018.png
475,477,2131.jpg,118,66,232,187,face_with_mask,1182131.jpg
2089,2100,4697.png,338,111,405,224,face_with_mask,3384697.png
47,47,4817.png,466,150,592,302,face_with_mask,4664817.png
5022,5039,5108.jpg,139,80,164,108,face_no_mask,1395108.jpg
2373,2384,2951.png,126,97,366,351,face_other_covering,1262951.png
6170,1098,01185_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01185_Mask_Mouth_Chin.jpg
1736,1744,3251.png,136,176,400,529,face_with_mask,1363251.png
3537,3552,4462.png,278,23,342,103,face_with_mask,2784462.png
6232,1160,01247_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01247_Mask_Mouth_Chin.jpg
374,375,5151.jpg,412,156,432,185,face_with_mask,4125151.jpg
3952,3968,5785.jpg,332,185,530,469,face_no_mask,3325785.jpg
2254,2265,5655.jpg,653,6,954,366,face_other_covering,6535655.jpg
3055,3067,4560.png,331,48,515,293,face_with_mask,3314560.png
5094,22,00023_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00023_Mask_Mouth_Chin.jpg
2380,2391,5922.jpg,764,69,1061,489,face_no_mask,7645922.jpg
3727,3743,4905.png,340,9,512,197,face_with_mask,3404905.png
1620,1627,3177.png,262,162,327,226,face_with_mask,2623177.png
94,94,3947.png,91,3,508,568,face_with_mask,913947.png
348,349,4718.png,212,190,281,256,face_no_mask,2124718.png
6452,1380,01479_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01479_Mask_Mouth_Chin.jpg
6480,1408,01509_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01509_Mask_Mouth_Chin.jpg
572,574,3399.png,184,135,336,334,face_other_covering,1843399.png
2928,2939,4593.png,369,164,416,217,face_with_mask,3694593.png
5667,595,00648_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,00648_Mask_Nose_Mouth.jpg
1326,1331,3128.png,379,112,524,323,face_with_mask,3793128.png
4380,4396,2721.png,164,7,505,417,face_with_mask,1642721.png
2642,2653,4243.png,158,77,285,256,face_with_mask,1584243.png
130,130,5225.jpg,725,86,1224,732,face_other_covering,7255225.jpg
482,484,4699.png,97,130,425,586,face_with_mask,974699.png
3807,3823,5555.jpg,743,147,903,380,face_other_covering,7435555.jpg
1312,1317,2639.png,158,1,899,619,face_with_mask,1582639.png
466,468,6240.jpg,437,1,566,181,face_no_mask,4376240.jpg
1847,1855,2833.png,211,5,578,490,face_with_mask,2112833.png
6332,1260,01350_Mask_Nose_Mouth.jpg,0,128,0,128,face_with_mask_incorrect,01350_Mask_Nose_Mouth.jpg
5383,311,00342_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,00342_Mask_Mouth_Chin.jpg
4123,4139,4291.png,162,161,384,442,face_with_mask,1624291.png
1427,1433,2811.png,496,338,517,367,face_other_covering,4962811.png
3830,3846,6011.jpg,176,107,223,160,face_no_mask,1766011.jpg
4737,4754,3785.png,225,113,335,275,face_with_mask,2253785.png
1373,1379,5863.jpg,751,21,948,265,face_no_mask,7515863.jpg
4486,4502,1810.jpg,99,212,233,373,face_with_mask_incorrect,991810.jpg
3416,3430,4158.png,333,229,501,420,face_no_mask,3334158.png
4250,4266,2394.png,311,197,372,275,face_with_mask,3112394.png
6419,1347,01446_Mask_Mouth_Chin.jpg,0,128,0,128,face_with_mask_incorrect,01446_Mask_Mouth_Chin.jpg
419,421,6077.jpg,618,278,898,532,face_no_mask,6186077.jpg
2714,2725,2422.png,308,38,337,74,face_with_mask,3082422.png
